"ID_REF"    "CD4T_Cxcr5+Bcl6+_1"	"CD4T_Cxcr5+Bcl6+_2"	"CD4T_Cxcr5-Bcl6-_1"	"CD4T_Cxcr5-Bcl6-_2"	"CD4T_Cxcr5+Bcl6-_1"	"CD4T_Cxcr5+Bcl6-_2"
10345172	6.525112	6.659286	6.668829	6.785614	6.519543	6.481887
10345174	8.43605	8.317007	9.070156	8.895864	8.706028	8.789747
10345181	4.902367	4.784276	5.016632	5.069139	4.981699	4.905407
10345183	9.109913	9.240507	9.055828	9.091714	9.017286	9.129155
10345190	6.973427	7.006977	6.831997	7.120386	6.877326	6.898259
10345197	4.726098	4.855185	4.783625	4.781461	4.7407	4.601827
10345200	6.272587	6.151575	6.294535	6.442703	6.380521	6.208433
10345203	9.037909	8.935336	8.823371	8.826758	9.019806	8.895735
10345206	7.49166	7.512448	7.375693	7.292252	7.399873	7.301807
10345212	5.692531	5.811484	5.631691	5.819496	5.492559	5.808275
10345224	5.015784	4.539929	5.341626	5.037736	4.89856	5.079354
10345226	4.467882	4.431093	4.41568	4.572877	4.520533	4.633686
10345228	8.063889	7.984572	8.053619	8.065474	7.972166	7.860343
10345230	8.511116	8.608217	8.702322	8.351915	8.78068	8.633467
10345241	8.303103	8.251779	8.821392	8.768802	8.67455	8.713428
10345350	7.172963	6.952901	7.076311	7.079065	7.103591	7.073167
10345352	8.278247	8.126631	7.986313	8.217237	7.980039	7.976327
10345357	11.22737	11.38073	12.23597	12.2353	11.98698	11.94725
10345368	9.820493	10.09672	10.66241	10.55133	10.12631	10.19552
10345370	7.518623	7.522791	7.648331	7.733783	7.645977	7.663589
10345387	7.373179	7.014492	6.941571	7.024231	6.980386	6.95977
10345393	7.586324	7.462212	7.455928	7.599901	7.453894	7.337928
10345401	6.717035	6.699014	6.608048	6.890158	6.739639	6.646053
10345404	7.963168	7.656625	7.485696	7.709732	7.633182	7.555529
10345406	7.93058	7.720922	7.572467	7.619899	7.64823	7.616212
10345409	8.176236	7.930668	7.682626	8.009981	7.965575	7.91015
10345411	8.647582	8.77054	8.856591	8.831929	8.760522	8.65037
10345423	11.05684	11.25057	10.61114	10.56864	11.0933	11.15496
10345436	10.5697	9.874885	10.01193	8.799499	9.671137	9.542852
10345438	8.212228	8.043535	7.960542	8.025351	7.937287	8.120143
10345440	5.895133	6.001058	5.942057	5.960406	5.894654	5.904781
10345442	8.673466	8.833661	9.435653	9.466625	9.018919	8.990099
10345445	9.881855	9.837944	10.56489	10.61701	10.73622	10.77446
10345457	6.744997	6.783237	6.536116	6.664862	6.633596	6.639743
10345482	8.259939	8.385238	8.45243	8.521433	8.436556	8.427158
10345492	9.571639	9.704189	9.34338	9.479438	9.366242	9.406595
10345504	11.84566	11.8332	12.04979	11.90372	12.1095	12.00978
10345509	12.07984	12.11094	12.18067	12.21448	12.12575	12.18754
10345527	6.974555	7.021441	6.302983	6.657573	6.589771	7.087995
10345529	7.062219	7.057355	7.016569	7.028833	7.126183	7.066771
10345546	5.785071	5.690723	5.644854	6.052378	5.872707	6.002157
10345548	5.822751	5.611836	5.563365	5.91859	5.843695	5.78947
10345550	5.629139	5.196854	5.397859	5.310786	5.311772	5.312408
10345552	10.1851	9.859892	9.550221	9.885157	9.696882	9.613791
10345554	5.877914	5.634566	6.053362	6.167129	5.971382	6.070652
10345556	8.179673	7.900856	7.82253	7.782842	7.71121	7.791651
10345558	6.510362	6.417394	6.34715	6.595918	6.212111	6.373837
10345571	7.071051	6.96696	6.892131	7.09135	6.895282	6.968434
10345580	10.31481	10.48983	10.27665	10.28426	10.26375	10.32261
10345608	10.28782	10.35721	10.58798	10.14689	10.3896	10.31535
10345616	7.492058	7.592172	7.831512	7.459742	7.58794	7.672926
10345620	9.872568	9.994486	10.85006	10.66931	10.51419	10.40927
10345626	9.500032	9.552399	10.39662	10.32014	9.973469	10.00668
10345656	7.171527	7.035155	6.854159	6.904689	6.800862	6.8694
10345666	9.714191	9.871901	10.12844	9.894129	10.06125	10.05272
10345675	9.360247	9.591346	10.57252	10.69072	10.254	10.31149
10345698	12.87725	12.89949	13.08615	13.03266	12.9594	13.03663
10345704	9.96306	9.568423	9.606631	9.792467	9.447262	9.604139
10345706	10.68439	10.76602	11.04912	11.00277	10.9123	10.95164
10345715	11.17463	11.2967	10.52293	10.54381	10.71247	10.8326
10345752	12.12226	12.10436	11.63091	11.56032	12.48039	12.53725
10345762	9.56318	9.895061	9.192451	9.09344	10.3203	10.36974
10345777	8.972311	9.246857	8.595655	8.384194	9.077701	9.019821
10345791	6.468572	6.249689	9.359262	9.308029	9.049584	8.947916
10345807	10.4408	10.47774	10.36835	10.26006	10.93332	10.90274
10345824	8.103131	8.384266	8.836489	8.738575	9.448	9.426967
10345840	7.371279	7.478845	7.115592	7.41794	7.29524	6.960005
10345855	6.847375	6.744664	6.857479	6.898084	6.759923	6.835516
10345869	7.871552	7.776475	7.431138	7.685411	7.566426	7.609075
10345875	6.645999	6.436856	6.335769	6.339289	6.20742	6.432135
10345877	6.846946	6.748843	6.580087	6.897871	6.807495	6.727675
10345879	7.683708	7.348382	7.663515	7.942985	7.573719	7.807379
10345882	9.265246	9.366516	9.725903	9.504193	9.570232	9.514162
10345895	6.955444	6.615563	6.456556	6.661886	6.687835	6.736723
10345902	7.168098	7.24604	7.131356	7.291108	7.12141	7.114573
10345904	8.611448	8.677184	8.784206	8.628259	8.728739	8.65612
10345909	13.7613	13.74454	13.82962	13.85536	13.84549	13.83946
10345911	5.154432	4.944135	4.805306	5.125745	5.028648	5.236508
10345913	8.649009	9.114424	8.996304	8.928082	8.914137	9.027604
10345921	7.540032	7.133094	7.152092	7.391797	7.245383	7.25468
10345926	9.353008	9.097347	9.247231	9.218482	9.308882	9.325996
10345928	6.619135	6.292882	6.35204	6.544474	6.51542	6.4986
10345930	11.02081	11.12412	11.20737	10.98107	11.03465	11.03264
10345967	8.518575	8.479316	7.816212	7.615856	8.327055	8.194609
10345981	9.214252	9.29444	9.314017	9.108302	9.425225	9.202814
10346000	4.549124	4.558063	4.750957	4.505521	4.642408	4.593593
10346015	8.20524	7.996688	7.779879	8.033545	7.844164	7.83943
10346067	4.606221	4.528749	5.235391	4.74038	5.155304	4.70643
10346069	6.321086	6.744376	6.870158	6.660844	6.712877	6.838463
10346072	8.242072	8.157746	8.254549	8.257539	8.192724	8.245466
10346074	10.10945	10.20026	11.76732	11.58191	11.22862	11.13221
10346098	6.700178	6.65396	6.536096	6.535738	6.533305	6.455528
10346105	12.77015	12.7166	12.77612	12.70182	12.74601	12.71701
10346107	6.063789	6.125665	6.006934	6.04896	6.054871	6.036362
10346109	6.653358	6.14466	6.706604	6.978136	6.638642	6.40274
10346114	10.14289	9.329395	9.040148	9.224278	9.367702	8.96488
10346116	5.973334	6.089949	5.879857	5.911942	5.861947	6.138803
10346137	8.404613	8.263884	7.729113	8.03607	7.982776	7.860751
10346139	5.595642	5.697867	5.581659	5.790727	5.546982	5.660106
10346141	5.264787	5.142477	4.959177	5.048072	5.065018	4.984261
10346146	7.063308	6.969944	7.079385	7.227287	7.191521	7.082249
10346150	6.682693	6.755665	6.503873	6.834795	6.652813	6.679921
10346164	6.098795	6.061396	5.919766	5.867682	6.062486	6.044669
10346168	13.2011	13.05926	12.24136	12.21285	12.70207	12.70759
10346191	11.81936	11.82241	12.74711	12.70109	12.91419	12.91235
10346222	10.5697	9.874885	10.01193	8.799499	9.671137	9.542852
10346224	10.63859	10.82277	9.614056	9.56032	10.4576	10.34503
10346235	8.418479	8.607332	8.508745	8.027115	8.735137	8.473512
10346250	5.878795	5.919408	5.755935	5.818764	5.71581	5.699361
10346255	9.529954	9.736986	9.428685	9.227839	9.437075	9.429135
10346260	8.142685	8.579163	8.364492	8.255117	8.4947	8.405408
10346269	5.783407	5.511327	5.663855	5.852992	5.731425	5.702249
10346298	9.738764	9.968331	10.52079	10.37234	10.11222	10.01091
10346303	11.51116	11.68751	12.66149	12.72096	12.23087	12.43622
10346310	10.56143	10.55269	10.67122	10.58741	10.57974	10.6047
10346321	4.598484	4.449679	4.697621	4.68816	4.552627	4.738295
10346323	8.848544	9.055902	9.855697	9.623899	9.536215	9.394274
10346328	10.00152	9.775524	9.912727	9.889748	9.690436	9.971237
10346330	9.060966	9.289951	8.085315	8.137958	8.609499	8.509504
10346337	9.100248	8.902774	8.728471	8.910016	8.831335	8.94529
10346340	8.062342	8.289125	8.925874	8.595674	8.605084	8.51404
10346348	7.857056	7.743656	7.675748	7.897642	7.63433	7.687257
10346365	8.988705	9.254365	8.077076	8.158487	9.414122	9.384105
10346374	6.976738	6.877558	6.755835	6.978279	6.902714	6.766135
10346410	6.286905	6.324498	6.198893	6.411093	6.277221	6.222405
10346448	6.718691	6.8546	6.664414	6.650068	6.67506	6.731194
10346485	7.106776	7.07688	6.93573	7.047608	7.024147	7.02506
10346523	12.40356	12.32147	12.88939	12.74659	12.725	12.62939
10346533	9.948858	10.1401	10.52638	10.32281	10.66335	10.55311
10346544	8.930559	8.794509	9.085784	8.586803	8.871865	8.836185
10346549	11.04408	11.01442	10.74124	10.57937	10.87302	10.9412
10346551	9.949329	10.05331	10.69286	10.38191	10.68916	10.58184
10346562	8.621193	8.926957	9.53476	9.477109	9.498113	9.61081
10346564	12.08703	12.07238	12.29158	12.40615	12.27643	12.25373
10346576	9.100284	9.262549	8.710119	8.586555	8.771379	8.765072
10346592	8.214972	7.915567	7.977889	8.250427	8.149526	8.075909
10346594	6.925076	6.793459	6.650061	6.871649	6.705929	6.853986
10346607	6.951194	6.797508	6.948997	6.976987	6.726264	6.782702
10346611	6.827996	6.80839	6.749572	6.900413	6.854707	6.859778
10346634	10.1094	10.21386	11.83339	11.78062	11.33592	11.41601
10346651	8.984163	9.359888	9.710411	9.82576	9.434366	9.478243
10346668	11.4369	11.63178	10.76305	10.88737	10.9767	11.06962
10346678	8.934286	9.095053	7.59487	7.293174	8.409292	8.345792
10346695	9.125029	9.300106	8.340803	8.296197	8.675652	8.662243
10346722	8.865533	8.98819	8.20568	8.026542	8.404272	8.410311
10346747	9.796491	9.756351	9.891895	9.909805	9.878293	9.915759
10346762	6.630368	6.426556	6.093092	6.401288	6.162765	6.291503
10346764	9.580891	9.685431	9.613149	9.540714	9.600498	9.530488
10346780	13.26934	13.23991	13.72309	13.61271	13.60783	13.55587
10346783	12.88701	12.99292	12.49348	12.51135	12.70197	12.69536
10346790	12.48495	12.65007	12.94888	12.83687	13.16217	13.05365
10346799	13.622	13.62128	13.44585	13.4095	13.77664	13.73524
10346808	12.99539	12.85737	12.95602	12.79607	12.90298	12.89271
10346810	7.696636	7.554289	7.552138	7.61332	7.623359	7.679296
10346838	7.204627	7.272462	7.212868	7.263107	7.181447	7.210788
10346840	9.358903	9.150074	9.575274	9.633305	9.402481	9.522364
10346843	7.165391	7.512475	8.623121	8.636315	7.376136	7.309918
10346867	12.9543	13.10833	13.39319	13.21524	13.25353	13.21104
10346874	6.869058	6.989103	8.658334	8.339019	7.913496	7.634564
10346876	7.023767	6.775957	8.620752	7.96454	7.634985	7.530832
10346878	5.93461	5.977156	5.942348	5.963963	5.944237	5.913742
10346882	6.938495	6.968247	7.339702	7.428096	6.871673	6.830895
10346914	8.020159	8.267406	9.719714	9.222418	9.124563	8.966509
10346928	5.84339	6.04746	5.889254	5.978274	5.917523	5.797443
10346938	5.47609	5.291417	5.417345	5.439369	5.451609	5.258307
10346941	4.395904	4.310883	4.555053	4.374387	4.495047	4.397841
10346943	10.98289	11.00708	11.02088	10.88191	11.08323	11.05127
10346960	7.995346	8.245272	8.490147	8.240911	8.49505	8.435905
10346970	9.798546	10.0668	9.822347	9.707708	9.843369	9.852381
10347018	6.112993	6.245786	6.040619	6.031173	6.044572	6.013764
10347033	6.700527	6.645242	6.361154	6.680153	6.574399	6.512663
10347036	7.286432	7.092684	7.101187	7.305179	7.097156	7.033533
10347058	4.885574	4.856195	4.797013	4.948986	4.862088	4.850328
10347060	7.180677	7.060323	6.941356	7.126827	6.939967	7.021165
10347073	6.959494	7.014124	6.875373	7.032078	7.039668	7.000855
10347106	10.1635	10.08327	10.42708	10.30914	10.43208	10.38326
10347115	4.34557	4.09457	4.226381	4.389354	4.165025	4.157371
10347117	6.803867	6.883418	6.818793	6.724217	6.529123	6.773915
10347158	5.789355	5.703212	5.448101	5.518964	5.769893	5.877288
10347163	5.864903	5.856884	5.696317	5.71919	5.764668	5.806095
10347186	7.835509	7.192369	7.262567	7.413291	7.38574	7.462299
10347188	6.876134	6.8764	6.583954	6.722547	6.535754	6.493335
10347193	11.33898	11.45087	12.09801	11.94989	11.82655	11.7452
10347210	7.11315	7.124675	7.103752	7.176155	7.046468	7.128378
10347214	7.944317	7.58395	7.688768	7.826402	7.88979	7.687195
10347216	13.14275	12.90913	12.92064	12.89093	12.91325	12.921
10347218	9.505478	10.2663	10.16439	10.18529	9.807946	10.61203
10347220	11.3447	11.5774	11.32918	11.5009	11.07254	11.54845
10347222	11.22327	11.44154	11.14304	11.30117	10.87725	11.39718
10347224	11.3447	11.5774	11.32918	11.5009	11.07254	11.54845
10347226	6.974813	7.110616	6.73348	6.667468	6.844032	6.915086
10347232	9.981944	10.13976	10.92969	10.6541	10.62048	10.51346
10347254	9.618438	9.726047	9.692129	9.62801	9.670165	9.65871
10347273	13.10768	13.12691	13.14229	13.23463	13.20228	13.18152
10347277	7.612257	7.503075	7.450593	7.642266	7.534784	7.505209
10347282	7.588757	7.292629	7.290367	7.332899	7.30158	7.419875
10347291	5.512892	5.592092	5.449215	5.625576	5.50347	5.731565
10347295	3.817118	3.972631	3.817118	3.94267	3.815404	3.94208
10347297	13.07403	13.18497	13.087	13.01884	13.02556	13.07631
10347307	8.654805	8.602364	8.354754	8.518149	8.363307	8.462868
10347310	8.572616	8.600072	8.76372	8.792187	8.91023	8.789133
10347324	6.672491	6.679197	6.485959	6.594616	6.619577	6.468893
10347335	7.825173	7.831705	7.689051	7.808333	7.804357	7.836485
10347351	10.6773	10.98957	10.36215	10.54681	10.55933	10.65884
10347362	7.544815	7.61334	7.57758	7.760219	7.403187	7.540056
10347364	6.85911	6.661006	6.646592	6.747069	6.657071	6.610633
10347386	11.16827	11.3397	11.50004	11.38995	11.57382	11.46853
10347398	7.016056	6.908073	6.972865	7.178599	7.209942	7.077304
10347417	9.169242	9.208856	9.662575	9.404675	9.488732	9.435965
10347427	7.929562	7.914777	7.727925	7.69078	7.716039	7.513061
10347460	9.969831	10.28665	10.39831	10.51599	10.11292	10.24418
10347481	7.146604	7.250999	7.104862	7.431265	7.182571	7.145252
10347491	7.344067	7.185074	7.156054	7.383616	7.154608	7.375347
10347497	8.743829	8.442694	8.464735	8.895545	8.557016	8.622418
10347503	8.972982	8.627263	8.708632	8.769979	8.818758	8.853533
10347508	10.5178	10.61781	9.650723	9.821999	9.936516	10.06176
10347521	9.579621	9.450147	9.2443	9.309863	9.470352	9.295683
10347531	8.490287	8.779409	8.007596	7.983781	8.235904	8.36909
10347552	10.4212	10.4773	10.78123	10.7396	10.737	10.73391
10347564	8.75535	8.878479	8.854669	8.766441	8.527157	8.656096
10347583	6.600164	6.296864	6.370206	6.638443	6.546174	6.677013
10347593	7.526668	7.344626	7.28053	7.331401	7.253733	7.24361
10347639	10.23359	10.50785	10.43941	10.40325	10.61491	10.55577
10347650	7.938544	7.697565	7.613947	7.750635	7.627623	7.666134
10347662	7.394345	7.309327	7.303606	7.682995	7.361031	7.373225
10347669	7.400872	7.480578	7.127651	7.38459	7.125871	7.340196
10347672	9.101616	9.22748	8.718559	8.484067	8.837767	8.831614
10347697	7.881369	7.677942	7.684027	7.77588	7.669519	7.659847
10347724	6.252693	5.974694	5.924242	5.709799	5.916374	6.060904
10347726	5.959678	5.788367	5.780558	5.783922	5.823511	5.902612
10347728	8.68143	8.37684	8.378196	8.062982	8.28348	8.374647
10347730	8.877335	8.907375	8.81636	8.972921	8.929562	8.789813
10347732	9.058884	8.695126	8.606025	8.70266	8.626437	8.619705
10347734	7.007512	7.077316	7.038261	6.988476	6.96333	6.952636
10347741	6.37333	6.287717	6.245111	6.271719	6.370343	6.300675
10347748	10.21081	10.28592	9.528481	9.18214	9.35527	9.301862
10347767	6.72409	6.442613	6.371787	6.660904	6.430214	6.296268
10347772	5.279042	5.294704	5.069313	5.165756	4.964378	5.133697
10347774	8.53057	8.52021	8.739621	8.785757	8.710536	8.746572
10347779	4.13532	4.068936	4.455198	4.189238	4.06156	4.0472
10347781	6.249554	6.213043	5.961501	6.192543	5.961269	6.112459
10347790	6.510706	6.216671	6.029467	6.249972	6.09102	6.148192
10347792	5.926551	5.733887	5.694654	5.912757	5.74487	5.779445
10347796	9.437127	9.56693	9.429288	9.189507	9.591115	9.610715
10347807	7.697637	7.525686	7.497618	7.634979	7.485285	7.522086
10347860	8.873233	8.770821	8.286592	8.678449	8.482635	8.346966
10347862	10.97866	11.1922	11.01316	10.93624	11.02971	11.01614
10347873	12.9908	13.09769	13.48953	13.4736	13.47958	13.43772
10347888	8.048649	7.568836	9.209365	8.923847	9.696011	9.374525
10347895	5.18926	5.192225	5.168653	5.222031	5.18926	5.153487
10347910	8.779603	8.776742	8.589119	8.595461	8.975425	8.693555
10347915	8.508279	8.829307	7.652911	7.668473	7.159519	7.250473
10347917	13.82004	13.74548	13.84572	13.82411	13.82516	13.85335
10347919	8.422835	8.811016	7.864884	8.041543	7.722666	7.798444
10347921	8.118981	8.068466	8.273922	8.126196	8.048079	8.12887
10347925	8.450258	8.687481	7.611381	7.637022	7.173095	7.239583
10347928	10.96456	11.02145	11.40587	11.38249	11.37732	11.33155
10347931	8.398792	8.315806	8.123174	8.265858	8.073917	7.970633
10347933	9.729065	9.762308	9.603913	9.316491	9.815185	9.687977
10347948	12.08241	12.12275	11.79502	11.74341	12.04653	12.02118
10347968	9.399064	9.357806	8.902785	9.072885	9.383184	9.379652
10347970	11.90178	11.96119	11.90557	11.8467	11.92898	11.84185
10347980	11.1512	11.06256	10.96768	10.95634	11.09851	11.24664
10347988	7.863666	7.502024	7.316229	7.421355	7.402425	7.379528
10347992	6.559211	6.683133	6.160289	6.349134	6.219459	6.262816
10348000	6.83708	6.912985	6.821839	6.794124	6.690181	6.806662
10348004	11.63435	11.8628	12.39851	12.12231	12.24902	12.09518
10348030	11.68356	11.3814	10.61566	10.88884	10.66471	10.81318
10348032	8.614518	8.641368	8.292735	8.137107	8.357734	8.357956
10348062	8.516021	8.626024	8.335914	8.530794	8.263292	8.424202
10348070	8.277665	8.242522	8.482544	8.656206	8.284813	8.393992
10348072	8.667871	8.691381	8.571436	8.563401	8.618807	8.477924
10348074	8.583551	8.361298	8.188066	8.328838	8.327381	8.163359
10348076	7.205141	7.076989	7.144876	7.570731	7.152627	7.191357
10348078	12.62693	12.72919	13.30311	13.21234	13.1479	13.07444
10348087	9.778778	9.970331	10.39884	10.22434	10.3268	10.29812
10348096	9.698359	9.931389	9.78423	9.695845	9.804358	9.87176
10348119	7.153045	6.919388	6.923515	7.067293	6.878169	7.121329
10348131	7.601344	7.519565	7.503975	7.368308	7.403673	7.389578
10348144	8.058088	8.00794	7.89501	7.947634	7.823738	7.9905
10348150	6.716057	6.691436	6.568868	6.752892	6.514257	6.414786
10348166	7.815565	7.683072	7.446623	7.581385	7.449048	7.513852
10348180	11.05652	11.08413	11.31855	11.27455	11.2253	11.21934
10348194	6.76371	6.667641	6.466783	6.636008	6.459327	6.450591
10348201	10.79569	10.9003	10.88486	10.90686	10.85639	10.78359
10348234	6.842065	6.768141	6.518773	6.624823	6.518911	6.533553
10348240	7.522732	7.413224	7.337281	7.344581	7.427279	7.400819
10348244	11.04393	11.13892	11.13302	11.16617	11.07271	11.01565
10348277	9.68569	9.761539	10.48326	10.28892	10.02137	9.962744
10348299	8.722079	8.675126	9.402158	9.399845	9.242901	9.0636
10348301	7.482378	7.504383	7.708681	7.651092	7.544578	7.63483
10348321	10.34956	10.61886	10.35739	10.37678	10.17358	10.12771
10348354	6.945019	7.046016	6.635265	6.674902	6.677497	6.750916
10348376	7.253267	7.217419	7.02231	6.940231	6.914139	6.986657
10348378	6.886398	6.629786	6.642681	6.9212	6.597767	6.727898
10348410	5.644217	5.588536	5.582	5.698997	5.621673	5.503599
10348420	6.339298	5.987762	6.159185	6.240309	6.237461	6.440966
10348424	7.817347	7.414234	7.811608	8.031972	7.832878	7.917045
10348432	7.807746	7.619733	7.686708	7.836775	7.741612	7.714393
10348451	6.951396	6.605101	6.465993	6.621062	6.599269	6.674623
10348456	10.47951	10.55373	11.11273	10.97818	10.86481	10.8988
10348468	7.33661	7.12371	7.133981	7.228391	7.311162	7.248209
10348471	8.163523	7.886251	7.955234	8.041826	8.00525	8.01736
10348489	8.941655	8.794108	8.486104	8.651937	8.555798	8.486705
10348493	9.503391	9.682785	9.872984	9.742672	9.775571	9.706553
10348521	6.322888	6.209043	6.005056	6.192107	6.307384	6.172968
10348537	9.475862	9.673479	9.047915	9.046027	9.456842	9.41186
10348547	9.129354	9.238839	9.431659	9.358646	9.374957	9.340926
10348556	7.008065	6.941103	7.519306	7.014216	6.941239	7.04321
10348558	8.80024	8.998878	8.879673	8.82673	9.010313	8.894329
10348570	8.580962	8.171906	8.321082	8.333431	8.266542	8.225495
10348580	6.761222	6.852212	6.569579	7.061455	6.763291	6.806504
10348590	7.546001	7.490283	7.325085	7.41184	7.344759	7.319499
10348600	7.647132	7.570695	7.762284	7.739056	7.655185	7.62125
10348618	8.638245	8.695261	8.676812	8.779736	8.708841	8.667198
10348632	7.884443	7.730584	7.514157	7.798307	7.605046	7.667603
10348635	7.917585	7.878421	7.312374	7.822034	7.558884	7.586524
10348637	7.601863	7.311368	7.063083	6.943785	7.115066	7.225902
10348639	7.136304	7.321546	6.874145	7.024775	6.894221	6.924953
10348641	7.947992	7.956421	7.469831	7.743361	7.499063	7.536132
10348643	7.068431	7.168829	6.888876	7.028531	6.855129	6.885903
10348645	7.992006	7.781368	7.839592	8.141594	7.671831	7.71168
10348653	8.367381	8.451596	8.305789	8.425106	8.337585	8.433098
10348664	7.891532	7.943093	7.830933	7.877017	7.714816	7.886692
