gene_symbol	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Mean TFH	Mean TH1	TFH:TFH_Rep1	TFH:TFH_Rep2	TH1:TH1_Rep1	TH1:TH1_Rep2
1110012J17Rik	0.58	0.03	0.17	0.21	0.84	2	0.78	0.39	0	1.56	0.78	0
1110012L19Rik	213.68	0.34	0.26	1.29	0.2	0.4	241.39	185.98	241.6	241.17	201.17	170.8
1110014N23Rik	1049.27	0.04	0.18	0.24	0.81	0.9	1065.6	1032.93	1054.49	1076.72	988.61	1077.24
1110017D15Rik	0.97	0.06	0.2	0.28	0.78	2	1.33	0.61	2.67	0	0	1.22
1110017F19Rik	4.07	-0.15	0.38	-0.4	0.69	2	3.17	4.96	4	2.33	6.26	3.66
1110018G07Rik	4453.92	0.36	0.17	2.15	0.031	0.11	5027.7	3880.14	5225.72	4829.68	3634.31	4125.97
1110018J18Rik	179.07	-0.37	0.28	-1.33	0.18	0.38	153.32	204.82	140.15	166.49	225.43	184.22
1110020A21Rik	6.65	-0.07	0.42	-0.16	0.87	2	6.17	7.14	5.34	7	9.39	4.88
1110020G09Rik	484.11	0.58	0.23	2.58	0.01	0.05	586.48	381.74	527.24	645.72	338.93	424.55
1110021J02Rik	604.46	0.05	0.21	0.26	0.79	0.89	617.27	591.65	667.4	567.15	626.98	556.31
1110021L09Rik	10.15	-0.13	0.44	-0.29	0.77	2	8.89	11.41	5.34	12.45	9.39	13.42
1110028C15Rik	289.64	-0.15	0.28	-0.53	0.59	0.77	273.63	305.66	274.97	272.29	392.94	218.38
1110031I02Rik	71.01	-0.72	0.38	-1.91	0.056	0.17	48.75	93.26	45.38	52.12	65.75	120.78
1110032A03Rik	37.53	0.2	0.43	0.47	0.64	0.8	42.03	33.02	56.06	28.01	47.75	18.3
1110032F04Rik	136.81	1.14	0.3	3.77	0.00017	0.0018	194.92	78.7	210.9	178.93	82.97	74.42
1110034A24Rik	539.04	-0.03	0.21	-0.14	0.89	0.94	533.6	544.48	573.96	493.24	564.36	524.59
1110034B05Rik	237.66	0.19	0.26	0.73	0.46	0.67	255.06	220.27	245.6	264.51	246.57	193.98
1110034G24Rik	182.28	0.53	0.27	1.93	0.053	0.17	218.65	145.91	220.24	217.06	139.33	152.5
1110037F02Rik	5276.37	-0.01	0.16	-0.09	0.93	0.97	5249.55	5303.19	5125.61	5373.49	5167.72	5438.66
1110038B12Rik	225.14	0.4	0.26	1.52	0.13	0.3	258.44	191.84	237.59	279.29	182.38	201.3
1110038D17Rik	796.31	-0.43	0.2	-2.15	0.032	0.12	670.32	922.3	614	726.63	853.98	990.62
1110038F14Rik	299.79	-0.32	0.24	-1.32	0.19	0.39	264.29	335.28	274.97	253.62	313.1	357.45
1110049F12Rik	805.32	0.11	0.2	0.55	0.58	0.76	837.99	772.65	787.53	888.45	843.81	701.49
1110051M20Rik	102.13	0.74	0.35	2.1	0.036	0.13	133.24	71.02	105.45	161.04	90.8	51.24
1110054O05Rik	776.32	0.02	0.21	0.07	0.94	0.97	779.8	772.84	762.17	797.43	646.55	899.12
1110057K04Rik	1343.12	0.45	0.19	2.32	0.021	0.085	1562.29	1123.94	1468.27	1656.31	1263.36	984.52
1110058L19Rik	170.88	0.2	0.29	0.67	0.51	0.71	184.17	157.59	166.85	201.5	187.08	128.1
1110059E24Rik	656.94	-0.14	0.2	-0.71	0.48	0.68	622.72	691.16	667.4	578.04	674.73	707.59
1110059G10Rik	296.35	0.03	0.24	0.11	0.91	0.96	299.49	293.21	315.01	283.96	291.18	295.23
1110065P20Rik	79.42	-0.53	0.38	-1.41	0.16	0.35	60.6	98.24	57.4	63.79	61.05	135.42
1110067D22Rik	359.34	-0.1	0.23	-0.46	0.65	0.81	345.34	373.34	329.69	360.98	373.37	373.31
1190002H23Rik	207.47	1.73	0.31	5.65	1.60E-08	4.30E-07	331.63	83.3	241.6	421.66	97.06	69.54
1190002N15Rik	951.2	-0.07	0.19	-0.39	0.69	0.83	925.95	976.44	908.99	942.91	1007.4	945.48
1190005F20Rik	1560.38	0.52	0.19	2.74	0.0061	0.034	1850.01	1270.75	1803.31	1896.71	1419.13	1122.38
1190005I06Rik	5.89	-0.27	0.41	-0.67	0.51	2	3.95	7.84	4	3.89	4.7	10.98
1190007F08Rik	1.78	0.04	0.27	0.13	0.89	2	1.94	1.61	0	3.89	0.78	2.44
1190007I07Rik	41.77	0.28	0.41	0.68	0.49	0.7	47.64	35.9	40.04	55.24	46.18	25.62
1200009I06Rik	1.22	-0.18	0.22	-0.85	0.4	2	0	2.44	0	0	0	4.88
1200011I18Rik	1852.57	0.35	0.18	1.9	0.057	0.18	2083.83	1621.32	2023.55	2144.11	1782.32	1460.31
1200011M11Rik	760.66	-0.11	0.2	-0.52	0.6	0.77	730.64	790.67	688.75	772.53	722.48	858.86
1200014J11Rik	2127.07	-0.24	0.18	-1.29	0.2	0.4	1944.21	2309.92	1971.49	1916.94	2035.93	2583.91
1200016B10Rik	592.14	-0.02	0.2	-0.08	0.94	0.97	588.55	595.72	563.28	613.82	605.85	585.59
1300001I01Rik	1787.14	0.14	0.18	0.78	0.44	0.65	1875.22	1699.06	1907.42	1843.03	1591.33	1806.79
1300002K09Rik	0.3	-0.08	0.15	-0.55	0.58	2	0	0.61	0	0	0	1.22
1300010F03Rik	583.01	0.38	0.2	1.9	0.058	0.18	664.28	501.75	654.05	674.51	503.31	500.19
1300014I06Rik	3.55	-0.53	0.33	-1.59	0.11	2	0	7.1	0	0	0.78	13.42
1300017J02Rik	0.3	-0.08	0.15	-0.55	0.58	2	0	0.61	0	0	0	1.22
1300018I17Rik	376.39	0.26	0.23	1.16	0.25	0.46	412.84	339.94	416.46	409.22	313.88	365.99
1300018J18Rik	338.39	0.49	0.23	2.12	0.034	0.12	400.06	276.73	420.46	379.65	260.66	292.79
1500001M20Rik	281.61	-0.24	0.24	-1.01	0.31	0.53	256.06	307.16	261.62	250.51	326.41	287.91
1500002O20Rik	734.18	-0.09	0.2	-0.44	0.66	0.81	710.87	757.5	711.44	710.29	828.15	686.85
1500003O03Rik	2923.72	-0.13	0.17	-0.8	0.43	0.64	2784.75	3062.68	2873.81	2695.69	2992.46	3132.9
1500004A13Rik	164.02	0.12	0.28	0.43	0.66	0.82	171.9	156.14	178.86	164.93	157.33	154.94
1500009L16Rik	1386.5	-4.02	0.21	-19.4	7.70E-84	1.20E-80	138.15	2634.85	149.5	126.81	2327.12	2942.59
1500010J02Rik	1848.16	-0.17	0.17	-1	0.32	0.54	1734.46	1961.85	1765.93	1702.99	1930.26	1993.44
1500011B03Rik	329.52	0.04	0.23	0.18	0.86	0.93	334.9	324.15	352.39	317.41	331.1	317.19
1500011H22Rik	643.55	0.73	0.21	3.53	0.00041	0.0038	812.11	474.98	827.57	796.65	520.53	429.43
1500011K16Rik	52.51	0.05	0.4	0.12	0.91	0.95	53.37	51.64	50.72	56.01	31.31	71.98
1500012F01Rik	1629.53	0.26	0.19	1.39	0.16	0.35	1785.64	1473.41	1899.41	1671.87	1630.47	1316.36
1500015A07Rik	56.83	-0.02	0.38	-0.05	0.96	0.98	56.2	57.46	49.39	63.02	56.36	58.56
1500015O10Rik	0.5	-0.02	0.16	-0.1	0.92	2	0.39	0.61	0	0.78	0	1.22
1500031L02Rik	734.48	0.25	0.21	1.23	0.22	0.43	802.52	666.44	746.15	858.89	732.65	600.23
1500032L24Rik	1609.94	-0.42	0.2	-2.14	0.033	0.12	1361.29	1858.58	1185.3	1537.28	1668.82	2048.34
1520402A15Rik	7.15	-0.27	0.42	-0.63	0.53	2	4.95	9.36	1.33	8.56	10.18	8.54
1600002H07Rik	256.7	-0.21	0.25	-0.84	0.4	0.62	236.32	277.07	232.25	240.39	263.79	290.35
1600002K03Rik	131.71	-0.09	0.32	-0.29	0.78	0.88	126.53	136.89	134.81	118.25	101.76	172.02
1600012F09Rik	158.35	0.3	0.29	1.01	0.31	0.53	176.27	140.43	149.5	203.05	128.37	152.5
1600012H06Rik	620.53	-0.36	0.21	-1.75	0.08	0.22	537.8	703.26	523.24	552.36	637.94	768.59
1600014C10Rik	1087.94	0.24	0.19	1.3	0.19	0.4	1184.11	991.77	1272.06	1096.17	972.18	1011.36
1600016N20Rik	98.79	-0.09	0.33	-0.28	0.78	0.88	95.29	102.29	108.12	82.47	103.32	101.26
1600027N09Rik	321.98	0.03	0.25	0.14	0.89	0.95	325.32	318.63	298.99	351.65	270.05	367.21
1600029D21Rik	2.82	-0.11	0.32	-0.35	0.72	2	2.11	3.52	2.67	1.56	7.04	0
1600029O15Rik	4.7	-0.23	0.39	-0.6	0.55	2	3.17	6.23	4	2.33	3.91	8.54
1700001C19Rik	3.93	0.16	0.35	0.45	0.65	2	5.11	2.74	4	6.22	5.48	0
1700001G17Rik	3.48	0.08	0.36	0.22	0.82	2	3.95	3	4	3.89	2.35	3.66
1700001J03Rik	0.5	-0.1	0.16	-0.6	0.55	2	0	1	0	0	0.78	1.22
1700001J11Rik	1.11	0.21	0.23	0.91	0.36	2	2.22	0	1.33	3.11	0	0
1700001K19Rik	1.5	-0.2	0.26	-0.77	0.44	2	0.39	2.61	0	0.78	1.57	3.66
1700001K23Rik	1.5	-0.12	0.26	-0.46	0.65	2	0.78	2.22	0	1.56	0.78	3.66
1700001L05Rik	85.38	0.48	0.34	1.39	0.16	0.35	102.29	68.46	98.77	105.8	75.93	61
1700001O22Rik	5.1	-0.2	0.4	-0.5	0.62	2	3.84	6.35	5.34	2.33	7.83	4.88
1700001P01Rik	0.69	0.02	0.18	0.1	0.92	2	0.78	0.61	0	1.56	0	1.22
1700007E06Rik	0.39	-0.09	0.16	-0.58	0.56	2	0	0.78	0	0	1.57	0
1700007I08Rik	0.78	0.07	0.19	0.35	0.72	2	1.17	0.39	0	2.33	0.78	0
1700007K09Rik	0.19	0.08	0.14	0.53	0.6	2	0.39	0	0	0.78	0	0
1700007K13Rik	0.61	-0.1	0.16	-0.6	0.55	2	0	1.22	0	0	0	2.44
1700008J07Rik	48.73	0.44	0.39	1.11	0.27	0.48	58.37	39.09	56.06	60.68	39.14	39.04
1700008O03Rik	0.58	0.03	0.17	0.21	0.84	2	0.78	0.39	0	1.56	0.78	0
1700008P20Rik	0.19	0.08	0.14	0.53	0.6	2	0.39	0	0	0.78	0	0
1700009P17Rik	4.95	-0.25	0.4	-0.62	0.53	2	3.28	6.62	2.67	3.89	4.7	8.54
1700010I14Rik	143.48	0.2	0.31	0.65	0.52	0.72	155	131.96	176.19	133.81	104.11	159.82
1700011E24Rik	0.59	-0.1	0.16	-0.6	0.55	2	0	1.17	0	0	2.35	0
1700011L22Rik	0.67	0.11	0.17	0.63	0.53	2	1.33	0	2.67	0	0	0
1700012A16Rik	6.71	-0.3	0.42	-0.72	0.47	2	4.45	8.97	2.67	6.22	9.39	8.54
1700012B07Rik	45.76	-2.53	0.43	-5.88	4.10E-09	1.20E-07	4.84	86.69	2.67	7	58.71	114.68
1700012B15Rik	137.18	0.05	0.3	0.16	0.87	0.94	140.09	134.27	140.15	140.04	152.64	115.9
1700012D14Rik	4.19	-0.03	0.38	-0.08	0.94	2	3.95	4.44	4	3.89	1.57	7.32
1700012L04Rik	1.37	-0.16	0.24	-0.66	0.51	2	0.39	2.35	0	0.78	4.7	0
1700013B16Rik	0.3	-0.08	0.15	-0.55	0.58	2	0	0.61	0	0	0	1.22
1700013N18Rik	0.58	0.03	0.17	0.21	0.84	2	0.78	0.39	0	1.56	0.78	0
1700016D06Rik	1.42	-0.14	0.26	-0.56	0.58	2	0.67	2.18	1.33	0	3.13	1.22
1700016K19Rik	1.5	0.21	0.26	0.78	0.43	2	2.61	0.39	1.33	3.89	0.78	0
1700017B05Rik	3159.71	-1.5	0.18	-8.46	2.70E-17	1.90E-15	1599.52	4719.91	1587.07	1611.97	5216.25	4223.56
1700018A14Rik	0.2	-0.08	0.14	-0.52	0.6	2	0	0.39	0	0	0.78	0
1700018B08Rik	0.19	0.08	0.14	0.53	0.6	2	0.39	0	0	0.78	0	0
1700018C11Rik	0.91	-0.14	0.19	-0.73	0.46	2	0	1.83	0	0	0	3.66
1700018L02Rik	1.75	-0.01	0.29	-0.04	0.97	2	1.72	1.78	2.67	0.78	2.35	1.22
1700019A02Rik	0.53	0.02	0.16	0.13	0.9	2	0.67	0.39	1.33	0	0.78	0
1700019D03Rik	2.92	0.13	0.34	0.37	0.71	2	3.67	2.18	2.67	4.67	3.13	1.22
1700019E19Rik	14.24	-0.55	0.45	-1.21	0.23	2	8.84	19.64	10.68	7	14.87	24.4
1700019G17Rik	236.4	0.03	0.26	0.11	0.91	0.96	239.51	233.3	264.29	214.72	245.78	220.82
1700019L03Rik	35.43	1.31	0.42	3.11	0.0019	0.013	56.32	14.54	57.4	55.24	15.66	13.42
1700019N12Rik	0.7	-0.13	0.19	-0.71	0.48	2	0	1.39	0	0	1.57	1.22
1700020A23Rik	0.39	-0.09	0.16	-0.58	0.56	2	0	0.78	0	0	1.57	0
1700020C07Rik	1.33	0.02	0.25	0.1	0.92	2	1.45	1.22	1.33	1.56	0	2.44
1700020D05Rik	10.35	-0.34	0.45	-0.77	0.44	2	7.34	13.36	5.34	9.34	13.31	13.42
1700020I14Rik	1123.96	-0.3	0.19	-1.61	0.11	0.27	1002.22	1245.69	983.74	1020.71	1161.6	1329.78
1700020L24Rik	33.39	-1.41	0.43	-3.26	0.0011	0.0086	12.29	54.5	16.02	8.56	51.66	57.34
1700020N01Rik	0.89	-0.1	0.22	-0.45	0.65	2	0.39	1.39	0	0.78	1.57	1.22
1700020N18Rik	1.11	-0.11	0.22	-0.52	0.61	2	0.39	1.83	0	0.78	0	3.66
1700020O03Rik	1268.08	0.09	0.19	0.5	0.62	0.79	1310.35	1225.81	1368.16	1252.54	1127.94	1323.68
1700021C14Rik	4.45	0.11	0.39	0.28	0.78	2	5.11	3.79	4	6.22	3.91	3.66
1700021F05Rik	228.54	-0.13	0.28	-0.47	0.64	0.8	216.54	240.55	217.57	215.5	187.08	294.01
1700021K19Rik	655.74	0.12	0.2	0.59	0.56	0.74	683.56	627.92	651.38	715.74	601.94	653.91
1700022I11Rik	1.31	0.09	0.25	0.38	0.71	2	1.83	0.78	1.33	2.33	1.57	0
1700022P22Rik	0.72	0.06	0.2	0.32	0.75	2	1.06	0.39	1.33	0.78	0.78	0
1700023E05Rik	0.3	-0.08	0.15	-0.55	0.58	2	0	0.61	0	0	0	1.22
1700025E21Rik	0.39	0.09	0.16	0.58	0.56	2	0.78	0	0	1.56	0	0
1700025G04Rik	596.17	0.09	0.21	0.45	0.65	0.81	616.02	576.32	607.33	624.72	526.79	625.85
1700025K23Rik	8.51	0.32	0.44	0.73	0.47	2	11.06	5.96	12.01	10.11	7.04	4.88
1700026D08Rik	0.2	-0.08	0.14	-0.52	0.6	2	0	0.39	0	0	0.78	0
1700026D11Rik	0.39	0	0.16	0	1	2	0.39	0.39	0	0.78	0.78	0
1700026J04Rik	1.75	-0.19	0.27	-0.69	0.49	2	0.67	2.83	1.33	0	0.78	4.88
1700026L06Rik	2.74	-0.27	0.3	-0.89	0.37	2	0.78	4.7	0	1.56	9.39	0
1700027A23Rik	1.67	0.12	0.27	0.44	0.66	2	2.33	1	0	4.67	0.78	1.22
1700027D21Rik	0.2	-0.08	0.14	-0.52	0.6	2	0	0.39	0	0	0.78	0
1700028B04Rik	1	-0.11	0.23	-0.51	0.61	2	0.39	1.61	0	0.78	0.78	2.44
1700028J19Rik	9.99	-0.16	0.45	-0.35	0.72	2	8.67	11.31	8.01	9.34	14.09	8.54
1700028K03Rik	14.6	-0.38	0.45	-0.84	0.4	2	10.62	18.59	8.01	13.23	16.44	20.74
1700029F09Rik	436.46	0.05	0.23	0.2	0.84	0.92	444.17	428.75	395.1	493.24	482.96	374.53
1700029F12Rik	0.39	0	0.16	0	1	2	0.39	0.39	0	0.78	0.78	0
1700029G01Rik	14.74	0.35	0.45	0.78	0.44	2	18.29	11.19	18.69	17.89	10.18	12.2
1700029H14Rik	1.65	-0.05	0.25	-0.21	0.83	2	1.33	1.96	2.67	0	3.91	0
1700029I01Rik	31.92	0.63	0.44	1.42	0.15	0.34	42.92	20.93	45.38	40.45	32.09	9.76
1700029I15Rik	1.53	-0.09	0.28	-0.34	0.73	2	1.06	2	1.33	0.78	1.57	2.44
1700029J07Rik	9.55	0.23	0.43	0.53	0.59	2	11.84	7.26	12.01	11.67	13.31	1.22
1700029J11Rik	3.95	0.15	0.38	0.4	0.69	2	4.89	3	6.67	3.11	2.35	3.66
1700029M20Rik	0.39	0.09	0.16	0.58	0.56	2	0.78	0	0	1.56	0	0
1700030C10Rik	29.45	-0.44	0.43	-1.01	0.31	0.53	22.68	36.22	26.7	18.67	29.74	42.7
1700030J22Rik	8.93	0.5	0.44	1.13	0.26	2	12.9	4.96	13.35	12.45	6.26	3.66
1700030K09Rik	139.94	0.06	0.29	0.22	0.83	0.91	143.32	136.56	138.82	147.82	129.15	143.96
1700034F02Rik	2.54	-0.08	0.33	-0.25	0.8	2	2.11	2.96	2.67	1.56	4.7	1.22
1700034H14Rik	404.32	-0.16	0.22	-0.71	0.48	0.69	380.82	427.82	389.76	371.87	405.46	450.17
1700034H15Rik	3.09	0.23	0.34	0.69	0.49	2	4.61	1.57	5.34	3.89	3.13	0
1700034I23Rik	1	-0.11	0.23	-0.51	0.61	2	0.39	1.61	0	0.78	0.78	2.44
1700037C18Rik	42.67	0.11	0.4	0.27	0.79	0.89	44.86	40.48	45.38	44.34	40.7	40.26
1700037H04Rik	323.7	-0.08	0.24	-0.33	0.74	0.86	313.95	333.46	347.05	280.85	302.14	364.77
1700040I03Rik	218.42	0.14	0.26	0.53	0.59	0.77	230.04	206.79	228.25	231.84	218.39	195.2
1700040L02Rik	18.05	0.36	0.45	0.8	0.42	2	22.18	13.93	18.69	25.67	15.66	12.2
1700048O20Rik	58.8	-0.68	0.38	-1.77	0.076	0.21	41.42	76.18	49.39	33.45	65.75	86.62
1700049G17Rik	45.77	1.19	0.4	2.96	0.0031	0.02	69.21	22.33	61.4	77.02	22.7	21.96
1700052K11Rik	78.83	0.84	0.38	2.22	0.027	0.1	107.4	50.25	102.78	112.03	71.23	29.28
1700052N19Rik	761.2	0.01	0.19	0.03	0.98	0.99	762.39	760	723.46	801.32	762.4	757.61
1700054N08Rik	370.13	-0.01	0.22	-0.03	0.98	0.99	369.08	371.18	367.07	371.1	359.28	383.07
1700056E22Rik	13.14	-0.36	0.45	-0.79	0.43	2	9.79	16.49	13.35	6.22	19.57	13.42
1700061G19Rik	2.54	-0.15	0.32	-0.46	0.64	2	1.72	3.35	2.67	0.78	5.48	1.22
1700061J05Rik	7.81	-0.77	0.42	-1.81	0.07	2	2.11	13.5	2.67	1.56	6.26	20.74
1700065D16Rik	18.46	-1.44	0.45	-3.19	0.0014	2	2.78	34.15	4	1.56	10.96	57.34
1700065I17Rik	0.61	-0.1	0.16	-0.6	0.55	2	0	1.22	0	0	0	2.44
1700066B19Rik	77.7	-0.06	0.35	-0.18	0.85	0.93	75.66	79.74	77.42	73.91	81.41	78.08
1700066M21Rik	365.11	-0.04	0.23	-0.17	0.87	0.93	360.36	369.86	383.09	337.64	374.94	364.77
1700067K01Rik	7.84	0.41	0.43	0.95	0.34	2	10.9	4.79	9.34	12.45	4.7	4.88
1700071K01Rik	0.39	0	0.16	0	1	2	0.39	0.39	0	0.78	0.78	0
1700073E17Rik	8.26	-0.73	0.43	-1.67	0.094	2	2.89	13.63	2.67	3.11	10.18	17.08
1700081L11Rik	3428.55	0.2	0.17	1.2	0.23	0.44	3677.21	3179.89	3689.37	3665.05	3394.01	2965.77
1700084E18Rik	9.33	-0.38	0.44	-0.85	0.4	2	6.34	12.32	8.01	4.67	14.87	9.76
1700084J12Rik	0.39	0	0.16	0	1	2	0.39	0.39	0	0.78	0.78	0
1700086O06Rik	17.91	0.07	0.45	0.16	0.87	2	18.62	17.2	14.68	22.56	14.87	19.52
1700092M07Rik	7.9	0.04	0.43	0.09	0.93	2	8.17	7.62	9.34	7	5.48	9.76
1700093K21Rik	0.39	0	0.16	0	1	2	0.39	0.39	0	0.78	0.78	0
1700094D03Rik	171.27	0.27	0.28	0.97	0.33	0.55	189.58	152.96	209.56	169.6	153.42	152.5
1700096J18Rik	1.17	0.06	0.22	0.28	0.78	2	1.56	0.78	0	3.11	1.57	0
1700096K18Rik	35.57	0.37	0.43	0.87	0.39	0.6	42.64	28.5	44.05	41.23	39.92	17.08
1700101E01Rik	0.7	-0.13	0.19	-0.71	0.48	2	0	1.39	0	0	1.57	1.22
1700102P08Rik	21.64	0.05	0.45	0.1	0.92	2	22.29	20.98	26.7	17.89	18.79	23.18
1700106N22Rik	30.98	-0.01	0.43	-0.02	0.99	0.99	30.63	31.34	20.02	41.23	29.74	32.94
1700109H08Rik	20.71	-0.23	0.45	-0.5	0.61	2	17.84	23.58	14.68	21.01	31.31	15.86
1700113I22Rik	57.52	0.04	0.38	0.1	0.92	0.96	58.49	56.55	64.07	52.9	50.88	62.22
1700120K04Rik	6.14	0.05	0.41	0.12	0.9	2	6.45	5.84	6.67	6.22	3.13	8.54
1700123I01Rik	0.83	0.05	0.21	0.22	0.83	2	1.06	0.61	1.33	0.78	0	1.22
1700123O20Rik	505.2	0.15	0.22	0.7	0.48	0.69	534.53	475.88	529.91	539.14	536.97	414.79
1700128F08Rik	3.56	-0.25	0.37	-0.67	0.5	2	2.11	5.01	2.67	1.56	3.91	6.1
1810006K21Rik	1949.89	0.09	0.43	0.22	0.83	0.91	2045.6	1854.17	2043.57	2047.64	2665.27	1043.08
1810008A18Rik	1356.67	-0.05	0.18	-0.28	0.78	0.89	1332.28	1381.06	1314.77	1349.79	1340.85	1421.27
1810009A15Rik	477.91	-0.02	0.22	-0.1	0.92	0.96	474.09	481.74	456.5	491.68	518.18	445.29
1810010D01Rik	0.53	0.02	0.16	0.13	0.9	2	0.67	0.39	1.33	0	0.78	0
1810010H24Rik	5.96	-0.07	0.41	-0.16	0.87	2	5.56	6.35	8.01	3.11	7.83	4.88
1810011H11Rik	2.74	-0.21	0.3	-0.7	0.49	2	1.17	4.31	0	2.33	8.61	0
1810012P15Rik	211.67	-0.34	0.26	-1.29	0.2	0.4	184.45	238.89	177.53	191.38	230.13	247.66
1810013D10Rik	581.59	0.31	0.21	1.51	0.13	0.31	648.63	514.55	702.1	595.15	514.27	514.83
1810013L24Rik	1151.42	-0.24	0.19	-1.3	0.2	0.4	1050.18	1252.66	1109.21	991.14	1346.33	1158.98
1810014B01Rik	60.28	0.6	0.38	1.6	0.11	0.27	76.22	44.35	70.74	81.69	50.88	37.82
